company,type_name,os,gpu_company,cpu_model,screen_type,touchscreen,ips_panel,ppi,ssd,hdd,flash_storage,hybrid,ram,weight,cpu_freq,price
Dell,2 in 1 Convertible,Windows,Nvidia,Intel Core i5,Full HD,1,0,127.33567457123111,0,1024,0,0,12,2.77,1.6,10.882339852663634
Apple,Ultrabook,Mac,Intel,Intel Core i5,Standard,0,1,202.37276851499232,256,0,0,0,8,1.37,2.0,11.23327769754677
Lenovo,Notebook,Other/Linux/No,Intel,Intel Core i3,Standard,0,0,100.45466986113651,128,0,0,0,4,2.2,2.0,9.886392257107492
Asus,Gaming,Windows,AMD,AMD,Full HD,0,0,127.33567457123111,256,1024,0,0,8,3.2,3.0,11.144929536976539
Dell,Notebook,Windows,AMD,Intel Core i5,Full HD,0,0,141.21199808219862,256,0,0,0,4,2.3,2.5,10.435497201969248
Asus,Notebook,Windows,Nvidia,Intel Other,Standard,0,0,90.58340172449303,0,1024,0,0,4,2.8,1.1,10.119767603828935
Lenovo,2 in 1 Convertible,Other/Linux/No,Intel,Intel Other,Standard,1,1,202.37276851499232,0,0,64,0,4,0.69,1.44,9.740792136877351
Acer,Notebook,Windows,Nvidia,Intel Core i7,Full HD,0,1,141.21199808219862,256,0,0,0,8,2.2,1.8,10.710164291083952
HP,Notebook,Windows,AMD,AMD,Full HD,0,0,141.21199808219862,256,0,0,0,4,1.86,2.5,9.963311854181793
HP,Notebook,Windows,Intel,Intel Core i7,Full HD,0,0,165.6321180513006,512,0,0,0,8,1.49,1.8,10.98136978397784
Acer,Notebook,Windows,Intel,Intel Core i3,Standard,0,0,100.45466986113651,0,1024,0,0,4,2.4,2.4,9.92627591416656
Dell,Notebook,Windows,AMD,Intel Core i7,Full HD,0,0,141.21199808219862,256,0,0,0,8,2.13,1.8,10.61910536672344
HP,Notebook,Windows,Intel,Intel Core i3,Full HD,0,0,141.21199808219862,128,0,0,0,4,1.91,2.0,10.06010661197771
Asus,Notebook,Windows,Intel,Intel Core i5,Standard,0,0,100.45466986113651,256,0,0,0,4,2.0,2.5,10.349230507142863
MSI,Gaming,Windows,Nvidia,Intel Core i7,Full HD,0,0,127.33567457123111,256,2048,0,0,16,2.43,2.8,11.779005892864248
Asus,Notebook,Other/Linux/No,Intel,Intel Core i3,Full HD,0,0,141.21199808219862,256,0,0,0,4,2.0,2.0,10.003875726567397
Dell,Notebook,Windows,AMD,Intel Core i7,Full HD,0,0,127.33567457123111,256,2048,0,0,16,2.8,1.8,11.144929536976539
Dell,Ultrabook,Windows,Intel,Intel Core i5,Full HD,0,0,157.3505121487356,256,0,0,0,8,1.7,1.6,10.754364713861957
Lenovo,Notebook,Other/Linux/No,Intel,Intel Core i3,Full HD,0,1,157.3505121487356,256,0,0,0,8,1.7,2.7,10.370862730428172
Asus,Notebook,Windows,Intel,Intel Core i5,Full HD,0,0,157.3505121487356,256,0,0,0,8,1.4,1.6,10.822514537453165
HP,Notebook,Windows,Intel,Intel Core i5,Full HD,0,0,141.21199808219862,256,0,0,0,8,1.86,2.5,10.512274384478
Asus,Ultrabook,Windows,Nvidia,Intel Core i7,Full HD,0,0,141.21199808219862,512,0,0,0,16,1.8,2.8,11.567934348001028
HP,Notebook,Windows,AMD,Intel Core i3,Standard,0,0,100.45466986113651,0,500,0,0,4,1.86,2.0,10.059379572493102
HP,Notebook,Windows,Intel,Intel Other,Standard,0,0,111.93520355955211,32,0,0,0,4,1.44,1.6,9.409355151711798
Lenovo,Notebook,Windows,Intel,Intel Core i5,Full HD,0,0,141.21199808219862,0,1024,0,0,4,1.9,2.5,10.283703226390841
Asus,Gaming,Other/Linux/No,Nvidia,Intel Core i7,Full HD,0,0,127.33567457123111,0,1024,0,0,12,3.0,2.8,10.830995139615448
Microsoft,Ultrabook,Windows,Intel,Intel Core i5,Standard,1,0,200.84255993695703,128,0,0,0,4,1.252,2.5,10.96859476264684
